Year,Table_Entry,Fragment,Lead
2018,16,Cc1[nH]c2nc(NCc3ccccc3F)nn2c(=O)c1C,Cc1cc(=O)n2nc(N[C@H](CC#N)c3cccc(Cl)c3)nc2[nH]1
2018,17,CC1CCc2ccccc2N1C(=O)C,CC(=O)N1[C@H](CN(Cc2ccccc2CO)c3cc(ccc13)C4=CCNCC4)C5CC5
2018,18,CC(=O)c1cn(C)c(=O)c2ccccc12,CCOc1ccc(cc1c2cn(C)c(=O)c3ccc(cc23)c4cnn(C)c4)S(=O)(=O)CC
2018,19,CCOc1ccc(cc1N)C(=O)C,CCOc1ccc(cc1NC(=O)c2cc(NC(=O)C)cc(NC(=O)c3ccco3)c2)C(=O)C
2018,20,CC(=O)c1cn(CCC(=O)O)c2ccccc12,COc1ccc2n(cc(C(=O)Nc3cc(cc(c4cnn(C)c4)c3F)C(=O)O)c2c1)C(=O)C
2018,21,O=C(Nc1ccc2ccccc2n1)c3ccco3,COc1nc(ccc1Nc2ccc(CN(C)C)cc2)c3cccc4OCCOc34
2018,22,C1Cc2nc(cn2C1)c3ccccc3,COc1cc(cc(OC)c1C)C(=O)N[C@@H]2CCc3ccc(cc23)c4cn5CCCc5n4
2018,23,NCc1ccc(cc1)c2ncccn2,Clc1ccc(CNCc2ccc(cc2)c3ncccn3)cc1Cl
2018,24,O=S1(=O)NCN(C2CC2)c3ccccc31,O=S1(=O)NCN(C2CC2)c3cc(CCc4ccc5c(c4)N(CNS5(=O)=O)C6CC6)ccc31
2018,25,CCOc1ccc(NC(=O)C)cc1Cl,CCS(=O)(=O)c1ccc(CC(=O)Nc2cnc(O[C@@H](C)c3ccccc3)c(Cl)c2)cc1
2018,26,OB1OCc2ccc(cc12)C(=O)O,OB1OCc2ccc(Cc3nnn[nH]3)cc12
2017,1,N(c1ccccc1)c2ccnc3ccccc23,Cc1ccc(Oc2ccnc3cc(ccc23)c4cnn(c4)C5CCNCC5)cc1
2017,2,OC(=O)CCc1nc2cc(Cl)c(Cl)cc2[nH]1,Cc1ccc(Oc2nc3cc(Cl)c(cc3[nH]2)c4ccc(cc4)c5ccccc5)cc1C(=O)O
2017,3,CCc1cnccc1c2c[nH]c(C#N)c2,NC(=O)c1[nH]cc(c1C(F)(F)F)c2ccncc2
2017,4,CC(C)Oc1ccccc1C(=O)N,CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc2nccc3cc(C(=O)N)c(OC)cc23
2017,5,Cc1cc(C)c(C#N)c(n1)N2CCOCC2,C[C@]1(O)CCN(C1)c2nc(cc(c2C#N)C(F)(F)F)N3C[C@H](O)[C@@H](O)C3
2017,6,Nc1n[nH]c2cccc(I)c12,FC1(F)CC1C(=O)Nc2ccc3[nH]nc(c4nc5cc(ccc5[nH]4)N6CCOCC6)c3c2
2017,7,CC(=O)c1cc(Cl)c(O)cc1O,C[C@H]1CCc2cc(ccc2N1C(=O)c3ccc(O)cc3O)C(=O)N(C)Cc4ccc5nccnc5c4
2017,8,NC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1,NC(=O)c1nn(CC(=O)N2C3CC3C[C@H]2C(=O)Nc4cccc(Br)n4)c5ccccc15
2017,9,CN1CCC(CC1)c2noc(n2)c3ccc(O)cc3,CCc1c(cnc(N)c1c2ccc(O)cc2)c3ccc4[nH]ncc4c3
2017,10,Oc1cc(nc2nnnn12)c3ccccc3,OC(=O)[C@@H]1CCCC[C@@H]1NC(=O)c2cnn3c(O)cc(nc23)c4ccccc4
2017,11,N[C@@H]1CCCN(C1)c2ncnc3[nH]ccc23,CN(CCCNC(=O)CNC(=O)Nc1ccc2sc(Cl)c(c3cccnc3C)c2c1)[C@@H]4CCCN(C4)c5ncnc6[nH]ccc56
2017,12,CCNC(=O)Nc1cc2ccccc2cn1,CCNC(=O)Nc1cc2c(ccc(CNC(=O)OC)c2cn1)c3ccnc(C)c3
2017,13,CNc1cnccc1C(=O)O,COc1ccc2[C@H](CNc3cnccc3C(=O)O)CCCc2c1
